knob,severity,cell_label,rep,pc_seed,phe_seed,failed,spearman,max_abs_err,mean_abs_err,anchor_slope,anchor_r2
baseline,0.0,baseline,0,0,1,False,1.0,0.018034372471701754,0.0038509522571401862,-0.9977392588903977,0.9959498774278234
baseline,0.0,baseline,1,2,3,False,1.0,0.018376324492756058,0.0051420773281781506,-0.9652256320403702,0.9974031772180914
baseline,0.0,baseline,2,4,5,False,1.0,0.024027575061337014,0.0056321672990614444,-1.0493274349546886,0.9975074638479358
baseline,0.0,baseline,3,6,7,False,1.0,0.009918710212667547,0.0034002536110172383,-0.9981740307362108,0.9981396451465374
baseline,0.0,baseline,4,8,9,False,1.0,0.01657495674788456,0.0035320734974404284,-1.0085363052533853,0.9964424786195536
baseline,0.0,baseline,5,10,11,False,1.0,0.015472594363996617,0.004962077410892789,-1.0128169860310257,0.9941590316042264
baseline,0.0,baseline,6,12,13,False,1.0,0.025186910851634603,0.004615373339551458,-0.9876161991827475,0.9974283490439495
baseline,0.0,baseline,7,14,15,False,1.0,0.018990109272057687,0.00603251897158019,-1.023196888791101,0.9983988330648459
baseline,0.0,baseline,8,16,17,False,1.0,0.01814045678435572,0.004940903812986598,-0.9850590506738631,0.9955973824680435
baseline,0.0,baseline,9,18,19,False,1.0,0.011528926562565767,0.003175060528540985,-0.9945717157346721,0.9977664287942781
baseline,0.0,baseline,10,20,21,False,1.0,0.02262684395314607,0.005310050704463219,-1.0155478746235107,0.9982158069002108
baseline,0.0,baseline,11,22,23,False,1.0,0.04090728469885374,0.013413582262178852,-1.0808870263481305,0.9976771315099157
baseline,0.0,baseline,12,24,25,False,1.0,0.011530069781673258,0.004081422299329421,-1.0065816084162418,0.995774997467289
baseline,0.0,baseline,13,26,27,False,1.0,0.01208724147899043,0.0032617709513425774,-1.0176700081710848,0.9966519471447007
baseline,0.0,baseline,14,28,29,False,1.0,0.026319152491708686,0.0054365707699977695,-0.9917472186098054,0.9938316665751739
pc_scale_sd,0.3,pc_scale_sd=0.3,0,10000,10001,False,1.0,0.022415315372379063,0.005985801066670448,-0.8884129682076056,0.9978967204307072
pc_scale_sd,0.3,pc_scale_sd=0.3,1,10002,10003,False,1.0,0.013489412975214887,0.0036754685457862533,-0.8997213485576278,0.9948899442798982
pc_scale_sd,0.3,pc_scale_sd=0.3,2,10004,10005,False,1.0,0.021561262685140692,0.0060690122388832824,-0.8596392520551059,0.9958089262815489
pc_scale_sd,0.3,pc_scale_sd=0.3,3,10006,10007,False,1.0,0.013456886311904781,0.0027563562790180614,-0.9044775731244198,0.9972084010288327
pc_scale_sd,0.3,pc_scale_sd=0.3,4,10008,10009,False,1.0,0.016664413657048627,0.003996634067546811,-0.8980062804917003,0.9978481411527637
pc_scale_sd,0.3,pc_scale_sd=0.3,5,10010,10011,False,1.0,0.021266136818733128,0.00429231492352752,-0.9421932923625993,0.9965988434398914
pc_scale_sd,0.3,pc_scale_sd=0.3,6,10012,10013,False,1.0,0.016022032972886624,0.002988090609367457,-0.8878453834497653,0.9974823260351635
pc_scale_sd,0.3,pc_scale_sd=0.3,7,10014,10015,False,1.0,0.01694566639224704,0.00504468439310229,-0.9390573649490007,0.9973890305075395
pc_scale_sd,0.3,pc_scale_sd=0.3,8,10016,10017,False,1.0,0.013970339286707545,0.003957226706419695,-0.8819023461905834,0.9974439320200083
pc_scale_sd,0.3,pc_scale_sd=0.3,9,10018,10019,False,1.0,0.016510336680887305,0.003574423864447087,-0.8886544042011677,0.9989868061955963
pc_scale_sd,0.3,pc_scale_sd=0.3,10,10020,10021,False,1.0,0.017564973728292355,0.004501307064227669,-0.9268864936276646,0.998680849709966
pc_scale_sd,0.3,pc_scale_sd=0.3,11,10022,10023,False,1.0,0.019750751322937465,0.005293969646992566,-0.8917045254004214,0.9984200676604827
pc_scale_sd,0.3,pc_scale_sd=0.3,12,10024,10025,False,1.0,0.018194184045433826,0.005106875043781698,-0.9007390146987576,0.9973539292116621
pc_scale_sd,0.3,pc_scale_sd=0.3,13,10026,10027,False,1.0,0.023367648773557237,0.005903975026337437,-0.9128682000044771,0.9982618867166231
pc_scale_sd,0.3,pc_scale_sd=0.3,14,10028,10029,False,1.0,0.015406421741822884,0.005099025541202425,-0.8851263883473269,0.9953949152033219
pc_scale_sd,0.6,pc_scale_sd=0.6,0,20000,20001,False,1.0,0.021897380510029152,0.006966050350949546,-0.6767119728372012,0.9957655312959508
pc_scale_sd,0.6,pc_scale_sd=0.6,1,20002,20003,False,1.0,0.014221614740897282,0.004946858013422107,-0.725411200048251,0.9965557916344803
pc_scale_sd,0.6,pc_scale_sd=0.6,2,20004,20005,False,1.0,0.021014924230338017,0.006304175421234193,-0.6834212471081165,0.9990697026343348
pc_scale_sd,0.6,pc_scale_sd=0.6,3,20006,20007,False,1.0,0.023589335086047103,0.006537278257915324,-0.6705270048708715,0.996843430394066
pc_scale_sd,0.6,pc_scale_sd=0.6,4,20008,20009,False,1.0,0.025548914572312786,0.010134521264095264,-0.6847942439917608,0.9963996444279326
pc_scale_sd,0.6,pc_scale_sd=0.6,5,20010,20011,False,1.0,0.03092095309076326,0.007976525083968103,-0.6858280176464225,0.9967025395205161
pc_scale_sd,0.6,pc_scale_sd=0.6,6,20012,20013,False,1.0,0.023281830727400754,0.007253074974066745,-0.7383851318565998,0.9973831093589213
pc_scale_sd,0.6,pc_scale_sd=0.6,7,20014,20015,False,1.0,0.038030189365408584,0.010862153910831226,-0.6291594854341623,0.9983208229401955
pc_scale_sd,0.6,pc_scale_sd=0.6,8,20016,20017,False,1.0,0.02525322877862818,0.008762744928520406,-0.6641062200039286,0.997607294303497
pc_scale_sd,0.6,pc_scale_sd=0.6,9,20018,20019,False,1.0,0.021853089515057378,0.008049880721876502,-0.6704262048362651,0.9964510464058015
pc_scale_sd,0.6,pc_scale_sd=0.6,10,20020,20021,False,1.0,0.028012360953163062,0.010023750379666931,-0.6765958905928401,0.9939156603301524
pc_scale_sd,0.6,pc_scale_sd=0.6,11,20022,20023,False,1.0,0.03159596522017499,0.006997391323772403,-0.7039286501991654,0.9920629221353194
pc_scale_sd,0.6,pc_scale_sd=0.6,12,20024,20025,False,1.0,0.018900553634092487,0.005314818426281962,-0.6847655721144423,0.9975328434847407
pc_scale_sd,0.6,pc_scale_sd=0.6,13,20026,20027,False,1.0,0.019078244664198718,0.006378877271852793,-0.6778337211305152,0.9977417851659742
pc_scale_sd,0.6,pc_scale_sd=0.6,14,20028,20029,False,1.0,0.02484841246045988,0.00796900912354461,-0.657654954422954,0.9963154195298154
phe_re_sd,0.5,phe_re_sd=0.5,0,30000,30001,False,1.0,0.012529777912138718,0.005924595051542659,-0.9736852871397675,0.9984076469888138
phe_re_sd,0.5,phe_re_sd=0.5,1,30002,30003,False,1.0,0.017709403417823566,0.0033821672659519893,-0.9738790168005753,0.9964890976050189
phe_re_sd,0.5,phe_re_sd=0.5,2,30004,30005,False,1.0,0.026724521324618222,0.0071750310420598176,-1.0883277384505532,0.9963451791441453
phe_re_sd,0.5,phe_re_sd=0.5,3,30006,30007,False,1.0,0.023519711420983747,0.009089130265263836,-1.0469364509938142,0.9969982423640744
phe_re_sd,0.5,phe_re_sd=0.5,4,30008,30009,False,1.0,0.02199394442500857,0.008125232049557033,-0.9505836885245389,0.9978712747899926
