axis,n_respondents,pairs_per_respondent,anchor_width,k_states,n_reps,n_failed,mean_max_err,mean_mean_err,err_ratio,mean_across_rep_sd,total_pc_responses,total_phe_responses,wall_time_s
n_respondents,250,10,mid,20,20,0,0.0610752165910589,0.01818737171083533,3.3581111972695132,0.022181661586838666,2500,750,2.17
n_respondents,500,10,mid,20,20,0,0.037855547148740926,0.010643236368212749,3.556770313003747,0.013005550874935157,5000,1500,4.86
n_respondents,1000,10,mid,20,20,0,0.031930301364907175,0.007928389001590869,4.02733788144101,0.01020169204047675,10000,3000,11.35
n_respondents,2000,10,mid,20,20,0,0.02069995626694466,0.0055118500783589595,3.75553688374406,0.006802664134839012,20000,6000,19.16
n_respondents,4000,10,mid,20,20,0,0.015436574218860794,0.004206960795738418,3.669293575185628,0.005160344272682756,40000,12000,37.17
pairs_per_respondent,1000,5,mid,20,20,0,0.03811571438393112,0.009888690840534193,3.8544752787389283,0.011931489210031076,5000,3000,11.49
pairs_per_respondent,1000,10,mid,20,20,0,0.031930301364907175,0.007928389001590869,4.02733788144101,0.01020169204047675,10000,3000,11.35
pairs_per_respondent,1000,15,mid,20,20,0,0.027730543304578324,0.007534133830674794,3.6806544624512783,0.009610113273523485,15000,3000,29.33
anchor_width,1000,10,narrow,20,20,0,0.044554887579581495,0.014234250603443665,3.130118249344466,0.01718499032405103,10000,3000,16.81
anchor_width,1000,10,mid,20,20,0,0.031930301364907175,0.007928389001590869,4.02733788144101,0.01020169204047675,10000,3000,11.35
